Datetime,Symbol,Open,High,Low,Close,Volume,Market Cap
2017-11-08,BTC,7070.00000000,7770.02000000,6651.00000000,7303.00000000,2822.29880200,20491286.19840822
2017-11-09,BTC,7303.01000000,7392.00000000,7015.00000000,7079.99000000,1913.39830800,13798534.34721742
2017-11-10,BTC,7079.00000000,7279.91000000,6255.01000000,6506.98000000,3254.70410500,22083345.18396158
2017-11-11,BTC,6503.00000000,6797.98000000,6100.00000000,6245.05000000,2754.15686100,17681445.46474999
2017-11-12,BTC,6245.05000000,6630.00000000,5325.01000000,5811.03000000,4968.48306900,29711508.60084671
2017-11-13,BTC,5839.94000000,6697.47000000,5699.99000000,6465.99000000,2621.24303900,16498136.09913936
2017-11-14,BTC,6465.99000000,6684.98000000,6311.07000000,6574.99000000,1254.29253100,8168729.97122799
2017-11-15,BTC,6575.99000000,7298.00000000,6575.99000000,7240.06000000,1779.60584500,12446186.45092821
2017-11-16,BTC,7240.14000000,7940.00000000,7076.00000000,7864.50000000,2331.95675000,17499577.25815967
2017-11-17,BTC,7876.98000000,7989.00000000,7451.00000000,7699.19000000,3982.39592500,31024092.61951179
2017-11-18,BTC,7680.01000000,7819.99000000,7422.00000000,7761.94000000,3954.26647700,30334498.31525712
2017-11-19,BTC,7761.94000000,8123.15000000,7650.33000000,8038.00000000,3867.34044400,30322635.76894570
2017-11-20,BTC,8057.11000000,8319.99000000,7954.00000000,8212.00000000,3886.63434800,31567135.38731295
2017-11-21,BTC,8212.49000000,8400.00000000,7801.00000000,8119.51000000,4544.47401600,37074997.58090905
2017-11-22,BTC,8091.09000000,8322.68000000,8091.09000000,8205.92000000,3545.00571000,29124078.47217724
2017-11-23,BTC,8233.03000000,8260.00000000,8000.00000000,8019.99000000,4093.95268700,33400702.99957629
2017-11-24,BTC,8019.97000000,8369.00000000,7850.00000000,8138.00000000,4411.78911200,35840264.45804051
2017-11-25,BTC,8138.99000000,8734.78000000,8090.00000000,8700.01000000,4292.62368200,36093005.20140187
2017-11-26,BTC,8700.04000000,9350.00000000,8604.72000000,9128.02000000,4147.38023700,37138533.83941873
2017-11-27,BTC,9128.00000000,9654.28000000,9112.04000000,9650.00000000,4521.62570700,42961064.95202934
2017-11-28,BTC,9650.00000000,9939.00000000,9570.50000000,9896.80000000,4917.21098500,48235644.05765540
2017-11-29,BTC,9896.79000000,11300.03000000,8520.00000000,9687.88000000,13352.53871500,135976167.45757934
2017-11-30,BTC,9687.88000000,10900.00000000,8850.80000000,9838.96000000,9389.57432900,91430904.34116388
2017-12-01,BTC,9837.00000000,10898.00000000,9380.00000000,10782.99000000,6134.92363300,62260697.58291551
2017-12-02,BTC,10775.04000000,11190.00000000,10620.00000000,10890.01000000,4765.43975700,52046689.84006951
2017-12-03,BTC,10902.69000000,11825.00000000,10500.00000000,11165.41000000,5346.63652400,60350708.29332783
2017-12-04,BTC,11165.41000000,11600.00000000,10802.00000000,11579.00000000,4663.42456200,52814985.63993067
2017-12-05,BTC,11571.03000000,11853.00000000,11447.68000000,11699.99000000,5550.73205500,64721253.04527842
2017-12-06,BTC,11699.99000000,13615.23000000,11665.58000000,13550.05000000,6707.94631900,84409526.69576179
2017-12-07,BTC,13541.01000000,16649.96000000,13050.00000000,16599.00000000,7487.06569500,109555325.34649763
2017-12-08,BTC,16599.00000000,17204.99000000,14015.00000000,15880.00000000,17589.01313600,271586476.61914313
